2|urackit-voice  | 2025-12-20 20:41:28: 2025-12-20 20:41:28,262 - sip_integration.media_stream - INFO - Function call: find_organization_by_ue_code({'u_e_code': 1392})
2|urackit-voice  | 2025-12-20 20:41:28: 2025-12-20 20:41:28,649 - sip_integration.agent_adapter - INFO - Executed tool find_organization_by_ue_code: success
2|urackit-voice  | 2025-12-20 20:41:28: 2025-12-20 20:41:28,972 - sip_integration.media_stream - INFO - [user]: Yes....
2|urackit-voice  | 2025-12-20 20:41:31: 2025-12-20 20:41:31,237 - sip_integration.media_stream - INFO - [assistant]: Thank you! I've verified your organization: ALerner CPA. Your account manager is Adam Lerner. May I ...
2|urackit-voice  | 2025-12-20 20:41:43: 2025-12-20 20:41:43,877 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
2|urackit-voice  | 2025-12-20 20:41:43: 2025-12-20 20:41:43,877 - sip_integration.media_stream - INFO - User interruption detected
2|urackit-voice  | 2025-12-20 20:41:43: 2025-12-20 20:41:43,877 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
2|urackit-voice  | 2025-12-20 20:41:43: 2025-12-20 20:41:43,877 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
2|urackit-voice  | 2025-12-20 20:41:45: 2025-12-20 20:41:45,292 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
2|urackit-voice  | 2025-12-20 20:41:45: 2025-12-20 20:41:45,292 - sip_integration.media_stream - INFO - User interruption detected
2|urackit-voice  | 2025-12-20 20:41:45: 2025-12-20 20:41:45,292 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
2|urackit-voice  | 2025-12-20 20:41:45: 2025-12-20 20:41:45,293 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
2|urackit-voice  | 2025-12-20 20:41:45: 2025-12-20 20:41:45,921 - sip_integration.media_stream - INFO - [user]: My name is......
2|urackit-voice  | 2025-12-20 20:41:47: 2025-12-20 20:41:47,902 - sip_integration.media_stream - INFO - [user]: su Montecomarro....
2|urackit-voice  | 2025-12-20 20:41:48: 2025-12-20 20:41:48,210 - sip_integration.media_stream - INFO - [assistant]: I heard Sumanth Kumar. Is that correct?...
2|urackit-voice  | 2025-12-20 20:41:53: WARNING:  Invalid HTTP request received.
2|urackit-voice  | 2025-12-20 20:41:53: WARNING:  Invalid HTTP request received.
2|urackit-voice  | 2025-12-20 20:41:54: 2025-12-20 20:41:54,467 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
2|urackit-voice  | 2025-12-20 20:41:54: 2025-12-20 20:41:54,467 - sip_integration.media_stream - INFO - User interruption detected
2|urackit-voice  | 2025-12-20 20:41:54: 2025-12-20 20:41:54,467 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
2|urackit-voice  | 2025-12-20 20:41:54: 2025-12-20 20:41:54,467 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
2|urackit-voice  | 2025-12-20 20:41:56: 2025-12-20 20:41:56,177 - sip_integration.media_stream - INFO - Function call: create_contact({'full_name': 'Sumanth Kumar', 'phone': '+18453884267', 'organization_name': 'ALerner CPA'})
2|urackit-voice  | 2025-12-20 20:41:56: 2025-12-20 20:41:56,804 - sip_integration.agent_adapter - INFO - Executed tool create_contact: success
2|urackit-voice  | 2025-12-20 20:41:56: 2025-12-20 20:41:56,805 - sip_integration.media_stream - INFO - [user]: Yes....
2|urackit-voice  | 2025-12-20 20:41:58: 2025-12-20 20:41:58,238 - sip_integration.media_stream - INFO - [assistant]: Thank you, Sumanth. How can I help you today?...
2|urackit-voice  | 2025-12-20 20:42:02: 2025-12-20 20:42:02,989 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
2|urackit-voice  | 2025-12-20 20:42:02: 2025-12-20 20:42:02,990 - sip_integration.media_stream - INFO - User interruption detected
2|urackit-voice  | 2025-12-20 20:42:02: 2025-12-20 20:42:02,990 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
2|urackit-voice  | 2025-12-20 20:42:02: 2025-12-20 20:42:02,990 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
2|urackit-voice  | 2025-12-20 20:42:07: 2025-12-20 20:42:07,778 - sip_integration.media_stream - INFO - [user]: Can you tell me the devices related to my organization?...
2|urackit-voice  | 2025-12-20 20:42:10: 2025-12-20 20:42:10,350 - sip_integration.media_stream - INFO - [assistant]: Sure, let me retrieve the list of devices for your organization. Please hold on a moment....
2|urackit-voice  | 2025-12-20 20:42:10: 2025-12-20 20:42:10,951 - sip_integration.media_stream - INFO - Function call: get_contact_devices({'contact_id': 6})
2|urackit-voice  | 2025-12-20 20:42:11: 2025-12-20 20:42:11,142 - sip_integration.agent_adapter - INFO - Executed tool get_contact_devices: success
2|urackit-voice  | 2025-12-20 20:42:13: 2025-12-20 20:42:13,519 - sip_integration.media_stream - INFO - [assistant]: It seems there are no devices currently assigned to you directly. Would you like me to check the dev...
2|urackit-voice  | 2025-12-20 20:42:33: 2025-12-20 20:42:33,342 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
2|urackit-voice  | 2025-12-20 20:42:33: 2025-12-20 20:42:33,342 - sip_integration.media_stream - INFO - User interruption detected
2|urackit-voice  | 2025-12-20 20:42:33: 2025-12-20 20:42:33,343 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
2|urackit-voice  | 2025-12-20 20:42:33: 2025-12-20 20:42:33,343 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
2|urackit-voice  | 2025-12-20 20:42:34: 2025-12-20 20:42:34,655 - sip_integration.media_stream - INFO - Function call: get_tickets_by_organization({'organization_id': 2})
2|urackit-voice  | 2025-12-20 20:42:35: 2025-12-20 20:42:35,052 - sip_integration.agent_adapter - INFO - Executed tool get_tickets_by_organization: success
2|urackit-voice  | 2025-12-20 20:42:35: 2025-12-20 20:42:35,206 - sip_integration.media_stream - INFO - [user]: Yes....
2|urackit-voice  | 2025-12-20 20:42:37: 2025-12-20 20:42:37,378 - sip_integration.media_stream - INFO - [assistant]: It appears there are no open tickets for your organization at the moment. Is there anything else I c...
2|urackit-voice  | 2025-12-20 20:42:46: 2025-12-20 20:42:46,665 - sip_integration.openai_realtime - INFO - VAD detected user speech starting
2|urackit-voice  | 2025-12-20 20:42:46: 2025-12-20 20:42:46,665 - sip_integration.media_stream - INFO - User interruption detected
2|urackit-voice  | 2025-12-20 20:42:46: 2025-12-20 20:42:46,665 - sip_integration.openai_realtime - INFO - Sent response.cancel to OpenAI
2|urackit-voice  | 2025-12-20 20:42:46: 2025-12-20 20:42:46,665 - sip_integration.media_stream - INFO - Sent clear to Twilio to stop audio playback
2|urackit-voice  | 2025-12-20 20:42:50: 2025-12-20 20:42:50,885 - sip_integration.media_stream - INFO - [user]: I asked you for device details, not tickets....
2|urackit-voice  | 2025-12-20 20:42:51: 2025-12-20 20:42:51,516 - sip_integration.media_stream - INFO - [assistant]: I apologize for the oversight. Let me get the device details for your organization now. Please hold ...
2|urackit-voice  | 2025-12-20 20:42:51: 2025-12-20 20:42:51,947 - sip_integration.media_stream - INFO - Function call: get_organization_devices({'organization_id': 2})
2|urackit-voice  | 2025-12-20 20:42:54: 2025-12-20 20:42:54,622 - sip_integration.media_stream - INFO - [assistant]: I apologize for the confusion. It seems there's been a mistake. Let me correct this and retrieve the...
2|urackit-voice  | 2025-12-20 20:42:55: 2025-12-20 20:42:55,454 - sip_integration.media_stream - INFO - Function call: find_device_by_name({'asset_name': 'ALerner CPA'})
2|urackit-voice  | 2025-12-20 20:42:56: 2025-12-20 20:42:56,195 - sip_integration.agent_adapter - INFO - Executed tool find_device_by_name: success
